,epoch,train_acc,train_loss,valid_acc,valid_loss
0,0,0.93275964,0.22359219,0.98277265,0.051965937
1,1,0.97093683,0.098101065,0.9847758,0.044752304
2,2,0.97702914,0.07757356,0.9870794,0.038792066
3,3,0.9785815,0.07149255,0.9851764,0.04871122
4,4,0.9806846,0.06500702,0.9870793,0.038815595
5,5,0.9809184,0.06137862,0.9867791,0.045374535
6,6,0.980017,0.06430367,0.98838145,0.04183001
7,7,0.98307157,0.056812692,0.9882813,0.042816926
8,8,0.98195314,0.05706257,0.99018437,0.031574123
9,9,0.98435694,0.049400993,0.98908263,0.037657652
10,10,0.9848908,0.05124448,0.9902845,0.03553614
11,11,0.98552513,0.049182035,0.98948324,0.03440515
12,12,0.9845739,0.052873198,0.9904848,0.035723075
13,13,0.9840229,0.05125124,0.9881812,0.041289117
14,14,0.9843402,0.052064203,0.99018437,0.040657543
15,15,0.9829718,0.057622597,0.9879808,0.047451727
