,epoch,train_acc,train_loss,valid_acc,valid_loss
0,0,0.10984645,5.4307623,0.12695312,2.2989051
1,1,0.11100823,2.3011918,0.12695312,2.3005424
2,2,0.11520069,2.3007476,0.12695312,2.3015513
3,3,0.11387055,2.3012655,0.12695312,2.2988515
4,4,0.11343278,2.3010736,0.12695312,2.2995467
5,5,0.10962756,2.3015914,0.12695312,2.3010097
6,6,0.111698546,2.3011072,0.12695312,2.302227
7,7,0.1105873,2.3017993,0.12695312,2.3023098
8,8,0.110317886,2.301415,0.12695312,2.301011
9,9,0.10809537,2.3015232,0.12695312,2.3002021
10,10,0.1090551,2.3020017,0.099609375,2.3021145
11,11,0.11254041,2.3008974,0.099609375,2.299955
12,12,0.111176595,2.3011312,0.099609375,2.3006015
13,13,0.111580685,2.3015454,0.12695312,2.299223
14,14,0.11210264,2.3011715,0.12695312,2.3040082
15,15,0.108061686,2.3016984,0.12695312,2.3006554
