,epoch,train_acc,train_loss,valid_acc,valid_loss
0,0,0.11020003,2.749041,0.11545138,2.3010974
1,1,0.11274246,2.3012247,0.11545138,2.3013391
2,2,0.114308335,2.3011732,0.11545138,2.3020616
3,3,0.111883745,2.30137,0.11545138,2.3019247
4,4,0.113197066,2.3010478,0.11545138,2.302071
5,5,0.11275931,2.301748,0.11545138,2.300926
6,6,0.1103179,2.301955,0.10329861,2.3015475
7,7,0.110890344,2.3018925,0.11545138,2.3016715
8,8,0.1129108,2.3014414,0.11545138,2.3014941
9,9,0.11306236,2.3016543,0.11545138,2.3015623
10,10,0.11334861,2.3014922,0.11545138,2.3014016
11,11,0.11255723,2.3015957,0.11545138,2.3013668
12,12,0.11102506,2.3014739,0.11545138,2.3031182
13,13,0.11413996,2.3012428,0.11545138,2.3023126
14,14,0.11201842,2.3020577,0.10329861,2.30336
15,15,0.11075568,2.3017128,0.11545138,2.3014991
