,epoch,iteration/step,loss,accuracy
0,3,5004,4.738599,0.06640625
1,3,5004,3.6111772,0.19921875
2,3,5004,3.621347,0.19921875
3,3,5004,3.288884,0.27734375
4,3,5004,3.1209407,0.31640625
5,3,5004,2.8005056,0.41015625
6,3,5004,2.5750833,0.4765625
7,3,5004,2.7245042,0.39453125
8,3,5004,2.4696136,0.45703125
9,3,5004,2.4063132,0.484375
10,3,5004,2.293193,0.4765625
11,3,5004,2.2655919,0.44140625
12,3,5004,2.170934,0.5078125
13,3,5004,2.1145077,0.5078125
14,3,5004,1.7664076,0.53515625
15,3,5004,1.7858891,0.53515625
16,3,5004,1.8286831,0.51953125
17,3,5004,2.115449,0.4921875
18,3,5004,1.8134272,0.53515625
19,3,5004,2.0030975,0.51171875
20,3,5004,1.9935441,0.515625
21,3,5004,1.7495902,0.56640625
22,3,5004,1.8735528,0.52734375
23,3,5004,1.6607764,0.56640625
24,3,5004,1.9026613,0.5078125
25,3,5004,1.8896499,0.5390625
26,3,5004,1.4968703,0.62109375
27,3,5004,1.6526381,0.58984375
28,3,5004,1.4952548,0.66015625
29,3,5004,1.5707364,0.61328125
30,3,5004,1.6649014,0.5625
31,3,5004,1.7785991,0.5546875
32,3,5004,1.4014477,0.63671875
33,3,5004,1.7093538,0.5625
34,3,5004,1.6907637,0.54296875
35,3,5004,1.5448875,0.6015625
36,3,5004,1.552288,0.58203125
37,3,5004,1.704944,0.59375
38,3,5004,1.6611536,0.58203125
39,3,5004,1.6553377,0.5703125
40,3,5004,1.6017092,0.60546875
41,3,5004,1.7835201,0.5546875
42,3,5004,1.4869723,0.6015625
43,3,5004,1.7951535,0.57421875
44,3,5004,1.6118684,0.6015625
45,3,5004,1.6303397,0.58203125
46,3,5004,1.8254595,0.5546875
47,3,5004,1.660045,0.55078125
48,3,5004,1.4800206,0.59765625
49,3,5004,1.9141008,0.55078125
50,3,5004,1.7281826,0.546875
51,3,5004,1.662135,0.5625
52,3,5004,1.5305077,0.578125
53,3,5004,1.5931495,0.58984375
54,3,5004,1.8759708,0.53515625
55,3,5004,1.4529969,0.62109375
56,3,5004,1.440799,0.65234375
57,3,5004,1.5303189,0.57421875
58,3,5004,1.6108263,0.5703125
59,3,5004,1.4650037,0.640625
60,3,5004,1.7304468,0.54296875
61,3,5004,1.5268884,0.58203125
62,3,5004,1.84867,0.5234375
63,3,5004,1.4649286,0.6484375
64,3,5004,1.7419456,0.5625
65,3,5004,1.4460412,0.66796875
66,3,5004,1.6321201,0.55859375
67,3,5004,1.5038915,0.609375
68,3,5004,1.9071738,0.5234375
69,3,5004,1.6354659,0.5859375
70,3,5004,1.6530055,0.61328125
71,3,5004,1.7134018,0.55859375
72,3,5004,1.4603857,0.61328125
73,3,5004,1.5917289,0.58984375
74,3,5004,1.6100224,0.57421875
75,3,5004,1.5450054,0.578125
76,3,5004,1.449767,0.61328125
77,3,5004,1.3939325,0.65625
78,3,5004,1.7644233,0.55859375
79,3,5004,1.4254322,0.609375
80,3,5004,1.492526,0.609375
81,3,5004,1.4944283,0.640625
82,3,5004,1.5802372,0.609375
83,3,5004,1.7220052,0.5703125
84,3,5004,1.5946801,0.56640625
85,3,5004,1.7199116,0.609375
86,3,5004,1.5984421,0.58203125
87,3,5004,1.6737969,0.5703125
88,3,5004,1.5508494,0.6015625
89,3,5004,1.6425713,0.57421875
90,3,5004,1.6080676,0.59375
91,3,5004,1.4332068,0.65625
92,3,5004,1.636693,0.58203125
93,3,5004,1.3408244,0.64453125
94,3,5004,1.682814,0.5625
95,3,5004,1.5704782,0.58203125
96,3,5004,1.4922689,0.61328125
97,3,5004,1.5974151,0.59765625
98,3,5004,1.4878961,0.6015625
99,3,5004,1.7688904,0.5390625
100,3,5004,1.3785013,0.62890625
101,3,5004,1.646168,0.61328125
102,3,5004,1.552731,0.59375
103,3,5004,1.6930116,0.5703125
104,3,5004,1.5807636,0.5703125
105,3,5004,1.7286081,0.5390625
106,3,5004,1.5422056,0.57421875
107,3,5004,1.4964886,0.59765625
108,3,5004,1.5020845,0.6171875
109,3,5004,1.570946,0.609375
110,3,5004,1.4808638,0.62890625
111,3,5004,1.7187394,0.51953125
112,3,5004,1.7912021,0.53125
113,3,5004,1.5319185,0.60546875
114,3,5004,1.3394817,0.62890625
115,3,5004,1.5384951,0.60546875
116,3,5004,1.5313728,0.609375
117,3,5004,1.4517097,0.625
118,3,5004,1.622911,0.58984375
119,3,5004,1.5612452,0.61328125
120,3,5004,1.5296572,0.61328125
121,3,5004,1.5225692,0.6171875
122,3,5004,1.6465697,0.5703125
123,3,5004,1.4866109,0.6484375
124,3,5004,1.5355651,0.61328125
125,3,5004,1.6066141,0.6015625
126,3,5004,1.6394258,0.58203125
127,3,5004,1.4497144,0.62109375
128,3,5004,1.409121,0.65625
129,3,5004,1.4133675,0.59765625
130,3,5004,1.5200822,0.55078125
131,3,5004,1.608142,0.5625
132,3,5004,1.5485098,0.61328125
133,3,5004,1.4602264,0.625
134,3,5004,1.6436727,0.6015625
135,3,5004,1.5681307,0.6015625
136,3,5004,1.556474,0.59375
137,3,5004,1.7166952,0.55859375
138,3,5004,1.510829,0.5859375
139,3,5004,1.5871608,0.57421875
140,3,5004,1.6297861,0.57421875
141,3,5004,1.5408515,0.59375
142,3,5004,1.4488478,0.60546875
143,3,5004,1.6749617,0.58203125
144,3,5004,1.6162206,0.57421875
